From,Destination,City,Type,Distance (km),Duration (Days),Budget,Cost (BDT)
Chittagong,Kuakata Beach,Patuakhali,Sea Beach,345,3,Medium,18808
Rangpur,Dinajpur Rajbari,Dinajpur,Historical Palace,84,1,Low,1506
Cumilla,Shibganj Mango Orchard,Chapainawabganj,Picnic Spot,687,1,Medium,2246
Mymensingh,Ramsagar National Park,Dinajpur,Park,335,1,Medium,1695
Dhaka,Bangladesh National Meusium,Dhaka,Historical Palace,12,1,Low,1201
Dhaka,Jaflong,Sylhet,Picnic Spot,295,1,Medium,2278
Barisal,Baniachong Raj Bari,Habiganj,Historical Palace,338,1,Medium,2052
Khulna,Zaflong Tea Garden,Sylhet,Picnic Spot,496,1,Medium,2526
Sylhet,Zinda Park,Narayanganj,Picnic Spot,225,1,Medium,2823
Rangpur,Mohamaya Eco Park,Chittagong,Picnic Spot,483,1,Medium,2690
Cumilla,Munshibari Zamindar Bari,Cumilla,Historical Palace,377,1,Medium,2971
Mymensingh,Kantaji Temple,Dinajpur,Historical Palace,347,1,Low,2297
Dhaka,Ratargul Swamp Forest,Sylhet,Forest,257,2,Medium,2747
Rajshahi,Bodhiratna Buddhist Temple,Cox's Bazar,Historical Palace,625,1,Medium,2367
Mymensingh,Sundarbans,Satkhira,Forest,410,1,Medium,4364
Rajshahi,Bangabandhu Bridge,Tangail,Historical Palace,567,1,Medium,2178
Chittagong,Sreemangal,Moulvibazar,Picnic Spot,301,1,Medium,1651
Chittagong,Aparajeyo Bangla,Dhaka,Historical Palace,245,1,Medium,2063
Sylhet,Tilagor Eco Park,Sylhet,Park,8,1,Low,360
Dhaka,Shibganj Mango Orchard,Chapainawabganj,Picnic Spot,314,1,Medium,1584
Sylhet,Tilagor Eco Park,Sylhet,Park,8,1,Low,883
Rangpur,Birishiri,Netrokona,Picnic Spot,346,1,Medium,2955
Chittagong,Bodhiratna Buddhist Temple,Cox's Bazar,Historical Palace,129,1,Low,1061
Cumilla,Lawachara National Park,Sylhet,Park,159,1,Low,1921
Cumilla,Nilachal,Bandarban,Hills,220,3,High,6312
Barisal,Fatra's Char,Patuakhali,Island,113,4,Medium,9186
Dhaka,Chandranath Hill,Chittagong,Hills,218,4,High,11113
Rajshahi,Jatiyo Sriti Shoudho,Savar,Historical Palace,229,1,Low,2018
Sylhet,Chandradinga,Netrokona,Hills,169,2,High,2968
Mymensingh,Patenga Beach,Chittagong,Sea Beach,373,6,High,8241
Barisal,Shalban Vihara,Cumilla,Historical Palace,175,1,Low,1319
Rajshahi,Sajek Valley,Rangamati,Hills,579,6,Medium,10457
Mymensingh,Mawa Ghat,Munshiganj,Picnic Spot,164,1,Low,1064
Cumilla,Himchari National Park,Cox's Bazar,Park,307,1,Low,2156
Cumilla,Zaflong Tea Garden,Sylhet,Picnic Spot,267,1,Low,1652
Barisal,Bodhiratna Buddhist Temple,Cox's Bazar,Historical Palace,369,1,Medium,2188
